marlon@sandbox:~$ sudo apt-get install apt-show-versions
Reading package lists... Done
Building dependency tree       
Reading state information... Done
apt-show-versions is already the newest version.
0 upgraded, 0 newly installed, 0 to remove and 4 not upgraded.
marlon@sandbox:~$ apt-show-versions
acl:amd64/trusty 2.2.52-1 uptodate
acpid:amd64/trusty 1:2.0.21-1ubuntu2 uptodate
adduser:all/trusty 3.113+nmu3ubuntu3 uptodate
apache2:amd64/trusty-security 2.4.7-1ubuntu4.4 uptodate
apache2-bin:amd64/trusty-security 2.4.7-1ubuntu4.4 uptodate
apache2-data:all/trusty-security 2.4.7-1ubuntu4.4 uptodate
apache2-mpm-prefork:amd64/trusty-security 2.4.7-1ubuntu4.4 uptodate
apt:amd64/trusty-updates 1.0.1ubuntu2.7 uptodate
apt-show-versions:all/trusty 0.22.3 uptodate
apt-utils:amd64/trusty-updates 1.0.1ubuntu2.7 uptodate
apt-xapian-index:all/trusty 0.45ubuntu4 uptodate
aptitude:amd64/trusty 0.6.8.2-1ubuntu4 uptodate
aptitude-common:all/trusty 0.6.8.2-1ubuntu4 uptodate
at-spi2-core:amd64/trusty 2.10.2.is.2.10.1-0ubuntu1 uptodate
base-files:amd64/trusty-updates 7.2ubuntu5.2 uptodate
base-passwd:amd64/trusty 3.5.33 uptodate
bash:amd64/trusty-security 4.3-7ubuntu1.5 uptodate
binutils:amd64/trusty-security 2.24-5ubuntu3.1 uptodate
biosdevname:amd64/trusty-updates 0.4.1-0ubuntu6.1 uptodate
bsdmainutils:amd64/trusty 9.0.5ubuntu1 uptodate
bsdutils:amd64/trusty-updates 1:2.20.1-5.1ubuntu20.4 uptodate
build-essential:amd64/trusty 11.6ubuntu6 uptodate
busybox-initramfs:amd64/trusty 1:1.21.0-1ubuntu1 uptodate
bzip2:amd64/trusty 1.0.6-5 uptodate
ca-certificates:all/trusty-security 20141019ubuntu0.14.04.1 uptodate
colord:amd64/trusty 1.0.6-1 uptodate
console-setup:all/trusty 1.70ubuntu8 uptodate
coreutils:amd64/trusty-security 8.21-1ubuntu5.1 uptodate
cpio:amd64/trusty-security 2.11+dfsg-1ubuntu1.1 uptodate
cpp:amd64/trusty 4:4.8.2-1ubuntu6 uptodate
cpp-4.8:amd64/trusty 4.8.2-19ubuntu1 uptodate
cron:amd64/trusty 3.0pl1-124ubuntu2 uptodate
curl:amd64/trusty-security 7.35.0-1ubuntu2.3 uptodate
dash:amd64/trusty 0.5.7-4ubuntu1 uptodate
dbconfig-common:all/trusty 1.8.47+nmu1 uptodate
dbus:amd64/trusty-security 1.6.18-0ubuntu4.3 uptodate
dbus-x11:amd64/trusty-security 1.6.18-0ubuntu4.3 uptodate
dconf-gsettings-backend:amd64/trusty 0.20.0-1 uptodate
dconf-service:amd64/trusty 0.20.0-1 uptodate
debconf:all/trusty 1.5.51ubuntu2 uptodate
debconf-i18n:all/trusty 1.5.51ubuntu2 uptodate
debianutils:amd64/trusty 4.4 uptodate
dh-python:all/trusty 1.20140128-1ubuntu8 uptodate
diffutils:amd64/trusty 1:3.3-1 uptodate
dkms:all/trusty-updates 2.2.0.3-1.1ubuntu5.14.04 uptodate
dmidecode:amd64/trusty 2.12-2 uptodate
dmsetup:amd64/trusty 2:1.02.77-6ubuntu2 uptodate
dpkg:amd64/trusty-security 1.17.5ubuntu5.4 uptodate
dpkg-dev:all/trusty-security 1.17.5ubuntu5.4 uptodate
e2fslibs:amd64/trusty-security 1.42.9-3ubuntu1.2 uptodate
e2fsprogs:amd64/trusty-security 1.42.9-3ubuntu1.2 uptodate
eject:amd64/trusty 2.1.5+deb1+cvs20081104-13.1 uptodate
exim4:all/trusty 4.82-3ubuntu2 uptodate
exim4-base:amd64/trusty 4.82-3ubuntu2 uptodate
exim4-config:all/trusty 4.82-3ubuntu2 uptodate
exim4-daemon-light:amd64/trusty 4.82-3ubuntu2 uptodate
fakeroot:amd64/trusty 1.20-3ubuntu2 uptodate
file:amd64/trusty-security 1:5.14-2ubuntu3.3 uptodate
findutils:amd64/trusty 4.4.2-7 uptodate
fontconfig:amd64/trusty-updates 2.11.0-0ubuntu4.1 uptodate
fontconfig-config:all/trusty-updates 2.11.0-0ubuntu4.1 uptodate
fonts-dejavu-core:all/trusty 2.34-1ubuntu1 uptodate
g++:amd64/trusty 4:4.8.2-1ubuntu6 uptodate
g++-4.8:amd64/trusty 4.8.2-19ubuntu1 uptodate
gcc:amd64/trusty 4:4.8.2-1ubuntu6 uptodate
gcc-4.8:amd64/trusty 4.8.2-19ubuntu1 uptodate
gcc-4.8-base:amd64/trusty 4.8.2-19ubuntu1 uptodate
gcc-4.9-base:amd64/trusty-updates 4.9.1-0ubuntu1 uptodate
gconf-service:amd64/trusty 3.2.6-0ubuntu2 uptodate
gconf-service-backend:amd64/trusty 3.2.6-0ubuntu2 uptodate
gconf2:amd64/trusty 3.2.6-0ubuntu2 uptodate
gconf2-common:all/trusty 3.2.6-0ubuntu2 uptodate
gcr:amd64/trusty 3.10.1-1 uptodate
gdebi:all/trusty-updates 0.9.5.3ubuntu2 uptodate
gdebi-core:all/trusty-updates 0.9.5.3ubuntu2 uptodate
gettext-base:amd64/trusty-updates 0.18.3.1-1ubuntu3 uptodate
gir1.2-atk-1.0:amd64/trusty 2.10.0-2ubuntu2 uptodate
gir1.2-freedesktop:amd64/trusty-updates 1.40.0-1ubuntu0.2 uptodate
gir1.2-gdkpixbuf-2.0:amd64/trusty 2.30.7-0ubuntu1 uptodate
gir1.2-glib-2.0:amd64/trusty-updates 1.40.0-1ubuntu0.2 uptodate
gir1.2-gtk-3.0:amd64/trusty-security 3.10.8-0ubuntu1.4 uptodate
gir1.2-pango-1.0:amd64/trusty-updates 1.36.3-1ubuntu1.1 uptodate
gir1.2-vte-2.90:amd64/trusty 1:0.34.9-1ubuntu1 uptodate
gksu:amd64/trusty 2.0.2-6ubuntu2 uptodate
gnome-icon-theme:all/trusty 3.10.0-0ubuntu2 uptodate
gnome-keyring:amd64/trusty-updates 3.10.1-1ubuntu4.2 uptodate
gnupg:amd64/trusty-security 1.4.16-1ubuntu2.3 uptodate
gpgv:amd64/trusty-security 1.4.16-1ubuntu2.3 uptodate
grep:amd64/trusty 2.16-1 uptodate
groff-base:amd64/trusty 1.22.2-5 uptodate
grub-common:amd64/trusty-updates 2.02~beta2-9ubuntu1 uptodate
grub-gfxpayload-lists:amd64/trusty 0.6 uptodate
grub-pc:amd64/trusty-updates 2.02~beta2-9ubuntu1 uptodate
grub-pc-bin:amd64/trusty-updates 2.02~beta2-9ubuntu1 uptodate
grub2-common:amd64/trusty-updates 2.02~beta2-9ubuntu1 uptodate
gzip:amd64/trusty 1.6-3ubuntu1 uptodate
heirloom-mailx:amd64/trusty 12.5-2 uptodate
hicolor-icon-theme:all/trusty 0.13-1 uptodate
hostname:amd64/trusty 3.15ubuntu1 uptodate
humanity-icon-theme:all/trusty 0.6.5 uptodate
ifupdown:amd64/trusty-updates 0.7.47.2ubuntu4.1 uptodate
init-system-helpers:all/trusty 1.14 uptodate
initramfs-tools:all/trusty-updates 0.103ubuntu4.2 uptodate
initramfs-tools-bin:amd64/trusty-updates 0.103ubuntu4.2 uptodate
initscripts:amd64/trusty-updates 2.88dsf-41ubuntu6.1 uptodate
insserv:amd64/trusty 1.14.0-5ubuntu2 uptodate
installation-report:all/trusty 2.54ubuntu1 uptodate
iproute2:amd64/trusty 3.12.0-2 uptodate
iputils-ping:amd64/trusty-updates 3:20121221-4ubuntu1.1 uptodate
isc-dhcp-client:amd64/trusty-updates 4.2.4-7ubuntu12.1 uptodate
isc-dhcp-common:amd64/trusty-updates 4.2.4-7ubuntu12.1 uptodate
iso-codes:all/trusty 3.52-1 uptodate
javascript-common:all/trusty 11 uptodate
kbd:amd64/trusty 1.15.5-1ubuntu1 uptodate
keyboard-configuration:all/trusty 1.70ubuntu8 uptodate
klibc-utils:amd64/trusty 2.0.3-0ubuntu1 uptodate
kmod:amd64/trusty 15-0ubuntu6 uptodate
krb5-locales:all/trusty-security 1.12+dfsg-2ubuntu5.1 uptodate
language-pack-en:all/trusty-updates 1:14.04+20150219 uptodate
language-pack-en-base:all/trusty-updates 1:14.04+20150219 uptodate
laptop-detect:amd64/trusty 0.13.7ubuntu2 uptodate
less:amd64/trusty 458-2 uptodate
libacl1:amd64/trusty 2.2.52-1 uptodate
libaio1:amd64/trusty 0.3.109-4 uptodate
libalgorithm-diff-perl:all/trusty 1.19.02-3 uptodate
libalgorithm-diff-xs-perl:amd64/trusty 0.04-2build4 uptodate
libalgorithm-merge-perl:all/trusty 0.08-2 uptodate
libapache2-mod-php5:amd64/trusty-security 5.5.9+dfsg-1ubuntu4.9 uptodate
libapparmor1:amd64/trusty-security 2.8.95~2430-0ubuntu5.1 uptodate
libapr1:amd64/trusty 1.5.0-1 uptodate
libaprutil1:amd64/trusty 1.5.3-1 uptodate
libaprutil1-dbd-sqlite3:amd64/trusty 1.5.3-1 uptodate
libaprutil1-ldap:amd64/trusty 1.5.3-1 uptodate
libapt-inst1.5:amd64/trusty-updates 1.0.1ubuntu2.7 uptodate
libapt-pkg-perl:amd64/trusty 0.1.29build1 uptodate
libapt-pkg4.12:amd64/trusty-updates 1.0.1ubuntu2.7 uptodate
libarchive-extract-perl:all/trusty 0.70-1 uptodate
libasan0:amd64/trusty 4.8.2-19ubuntu1 uptodate
libasn1-8-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libasprintf0c2:amd64/trusty-updates 0.18.3.1-1ubuntu3 uptodate
libatk-bridge2.0-0:amd64/trusty 2.10.2-2ubuntu1 uptodate
libatk1.0-0:amd64/trusty 2.10.0-2ubuntu2 uptodate
libatk1.0-data:all/trusty 2.10.0-2ubuntu2 uptodate
libatomic1:amd64/trusty 4.8.2-19ubuntu1 uptodate
libatspi2.0-0:amd64/trusty 2.10.2.is.2.10.1-0ubuntu1 uptodate
libattr1:amd64/trusty 1:2.4.47-1ubuntu1 uptodate
libaudit-common:all/trusty 1:2.3.2-2ubuntu1 uptodate
libaudit1:amd64/trusty 1:2.3.2-2ubuntu1 uptodate
libavahi-client3:amd64/trusty 0.6.31-4ubuntu1 uptodate
libavahi-common-data:amd64/trusty 0.6.31-4ubuntu1 uptodate
libavahi-common3:amd64/trusty 0.6.31-4ubuntu1 uptodate
libblkid1:amd64/trusty-updates 2.20.1-5.1ubuntu20.4 uptodate
libboost-iostreams1.54.0:amd64/trusty-updates 1.54.0-4ubuntu3.1 uptodate
libbsd0:amd64/trusty 0.6.0-2ubuntu1 uptodate
libbz2-1.0:amd64/trusty 1.0.6-5 uptodate
libc-bin:amd64/trusty-security 2.19-0ubuntu6.6 uptodate
libc-dev-bin:amd64/trusty-security 2.19-0ubuntu6.6 uptodate
libc6:amd64/trusty-security 2.19-0ubuntu6.6 uptodate
libc6-dev:amd64/trusty-security 2.19-0ubuntu6.6 uptodate
libcairo-gobject2:amd64/trusty-updates 1.13.0~20140204-0ubuntu1.1 uptodate
libcairo-perl:amd64/trusty 1.104-1 uptodate
libcairo2:amd64/trusty-updates 1.13.0~20140204-0ubuntu1.1 uptodate
libcap-ng0:amd64/trusty 0.7.3-1ubuntu2 uptodate
libcap2:amd64/trusty 1:2.24-0ubuntu2 uptodate
libcap2-bin:amd64/trusty 1:2.24-0ubuntu2 uptodate
libcgmanager0:amd64/trusty-updates 0.24-0ubuntu7.3 uptodate
